level,id,dataset,ie_pred_kcalmol,true_kcalmol,error_kcalmol,abs_error_kcalmol
wB97M-V__aug-cc-pVTZ,IE-SSI-146ARG-207GLU-1,SSI,-118.5695749,-118.843,0.273425086,0.273425086
wB97M-V__aug-cc-pVTZ,IE-SSI-132ASP-156ARG-1,SSI,-102.4890893,-102.813,0.323910717,0.323910717
wB97M-V__aug-cc-pVTZ,IE-SSI-149THR-157PRO-1,SSI,-0.847009786,-0.88,0.032990214,0.032990214
wB97M-V__aug-cc-pVTZ,IE-SSI-048HIE-091ARG-1,SSI,-6.569853909,-6.372,-0.197853909,0.197853909
wB97M-V__aug-cc-pVTZ,IE-SSI-040HIE-103HIE-1,SSI,-9.920369025,-10.145,0.224630975,0.224630975
wB97M-V__aug-cc-pVTZ,IE-SSI-012LEU-070MET-1,SSI,-0.729402148,-0.763,0.033597852,0.033597852
wB97M-V__aug-cc-pVTZ,IE-SSI-007GLU-033LYS-1,SSI,-4.689148612,-4.726,0.036851388,0.036851388
wB97M-V__aug-cc-pVTZ,IE-SSI-060THR-087LYS-1,SSI,-18.02483251,-18.01,-0.014832506,0.014832506
wB97M-V__aug-cc-pVTZ,IE-SSI-051CYS-154LYS-1,SSI,-8.019820716,-7.995,-0.024820716,0.024820716
wB97M-V__aug-cc-pVTZ,IE-SSI-155PRO-170TRP-1,SSI,-1.222184081,-1.268,0.045815919,0.045815919
wB97M-V__aug-cc-pVTZ,IE-SSI-124ASP-134ARG-1,SSI,-112.4021876,-112.654,0.251812374,0.251812374
wB97M-V__aug-cc-pVTZ,IE-SSI-029TRP-308ASP-1,SSI,-8.905719507,-8.944,0.038280493,0.038280493
wB97M-V__aug-cc-pVTZ,IE-SSI-083ILE-173LEU-1,SSI,-0.426254091,-0.481,0.054745909,0.054745909
wB97M-V__aug-cc-pVTZ,IE-SSI-004ASP-043THR-1,SSI,-16.81816822,-16.624,-0.19416822,0.19416822
wB97XD__Def2TZVPP,IE-ADIM6-0,ADIM6,-1.380995882,-1.34,-0.040995882,0.040995882
wB97XD__Def2TZVPP,IE-ADIM6-1,ADIM6,-2.14252409,-1.99,-0.15252409,0.15252409
wB97XD__Def2TZVPP,IE-ADIM6-2,ADIM6,-3.172254381,-2.89,-0.282254381,0.282254381
wB97XD__Def2TZVPP,IE-ADIM6-3,ADIM6,-4.190646166,-3.78,-0.410646166,0.410646166
wB97XD__Def2TZVPP,IE-ADIM6-4,ADIM6,-5.191643789,-4.6,-0.591643789,0.591643789
wB97XD__Def2TZVPP,IE-ADIM6-5,ADIM6,-6.239335351,-5.55,-0.689335351,0.689335351
wB97XD__Def2TZVPP,IE-AHB21-0,AHB21,-22.84178059,-17.79,-5.051780592,5.051780592
