id,level,ae_pred_kcalmol,true_kcalmol,error_kcalmol,abs_error_kcalmol
AE-TAE140-85,wB97M-V__aug-cc-pVTZ,-388.98275140518297,-390.141,1.158248594817053,1.158248594817053
AE-TAE140-11,wB97M-V__aug-cc-pVTZ,-419.5536805675167,-420.42,0.8663194324832943,0.8663194324832943
AE-TAE140-41,wB97M-V__aug-cc-pVTZ,-703.984885774964,-704.1,0.11511422503599533,0.11511422503599533
AE-TAE140-51,wB97M-V__aug-cc-pVTZ,-440.2461817009889,-439.441,-0.8051817009889533,0.8051817009889533
AE-TAE140-110,wB97M-V__aug-cc-pVTZ,-107.12007056456157,-105.815,-1.305070564561575,1.305070564561575
AE-TAE140-102,wB97M-V__aug-cc-pVTZ,-313.87674981222546,-312.219,-1.657749812225461,1.657749812225461
AE-TAE140-39,wB97M-V__aug-cc-pVTZ,-703.7351066177982,-705.605,1.8698933822017807,1.8698933822017807
AE-TAE140-13,wB97M-V__aug-cc-pVTZ,-376.6157156655465,-382.753,6.137284334453511,6.137284334453511
AE-TAE140-19,wB97M-V__aug-cc-pVTZ,-183.73968864519642,-183.913,0.1733113548035874,0.1733113548035874
AE-TAE140-65,wB97M-V__aug-cc-pVTZ,-501.60012245729206,-501.899,0.29887754270794176,0.29887754270794176
AE-TAE140-50,wB97M-V__aug-cc-pVTZ,-442.47106449847536,-438.281,-4.190064498475351,4.190064498475351
AE-TAE140-120,wB97M-V__aug-cc-pVTZ,-37.4248020617379,-39.042,1.6171979382621018,1.6171979382621018
AE-TAE140-7,wB97M-V__aug-cc-pVTZ,-190.22497798153586,-190.745,0.5200220184641466,0.5200220184641466
AE-TAE140-87,wB97M-V__aug-cc-pVTZ,-409.044209735127,-410.029,0.9847902648729701,0.9847902648729701
AE-TAE140-89,wB97M-V__aug-cc-pVTZ,-164.9261844691515,-165.128,0.20181553084847792,0.20181553084847792
AE-TAE140-138,wB97M-V__aug-cc-pVTZ,-137.68149433699952,-147.428,9.746505663000477,9.746505663000477
AE-TAE140-136,wB97M-V__aug-cc-pVTZ,-123.27672866314582,-126.385,3.1082713368541874,3.1082713368541874
AE-TAE140-34,wB97M-V__aug-cc-pVTZ,-410.2586597714457,-410.973,0.7143402285543061,0.7143402285543061
AE-TAE140-112,wB97M-V__aug-cc-pVTZ,-153.90001494191046,-152.745,-1.1550149419104514,1.1550149419104514
AE-TAE140-111,wB97M-V__aug-cc-pVTZ,-247.0865006807425,-260.621,13.534499319257492,13.534499319257492
AE-TAE140-46,wB97M-V__aug-cc-pVTZ,-437.3581433327821,-437.668,0.3098566672179004,0.3098566672179004
AE-TAE140-116,wB97M-V__aug-cc-pVTZ,-102.66232289850898,-104.251,1.5886771014910295,1.5886771014910295
AE-TAE140-10,wB97M-V__aug-cc-pVTZ,-307.0770944467338,-307.87,0.7929055532662233,0.7929055532662233
AE-TAE140-26,wB97M-V__aug-cc-pVTZ,-810.3473043976012,-811.241,0.8936956023987932,0.8936956023987932
AE-TAE140-81,wB97M-V__aug-cc-pVTZ,-299.33672382745107,-296.534,-2.802723827451075,2.802723827451075
AE-TAE140-126,wB97M-V__aug-cc-pVTZ,-64.84193983822327,-65.447,0.6050601617767342,0.6050601617767342
